model,loco_mean_auc,loco_std_auc,pooled_cv_auc,drop_vs_pooled
LASSO,0.8765822497805476,0.0850921258352009,0.9184387843516132,0.04185653457106564
Logistic,0.8898610377315423,0.053438858075866444,0.9189519499141208,0.02909091218257842
Random Forest,0.9400853924795383,0.04130356865178541,0.955390337458594,0.015304944979055768
Ridge,0.9092150133257944,0.03868445609315199,0.9284658324132008,0.019250819087406446
