model,accuracy_mean,accuracy_std,auc_roc_mean,auc_roc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
Logistic Regression (Baseline),0.9,0.012176947943737379,0.9189519499141209,0.02821071608326825,0.3625548589341693,0.055474576100932926,0.6466666666666667,0.16,0.46247004457530777,0.08421210348263662
LASSO,0.9258928571428573,0.017081362919383003,0.9184387843516133,0.01907436549408949,0.49336007130124776,0.09603489169853706,0.6066666666666667,0.11234866364235147,0.5287542862010948,0.035202420761320824
Ridge,0.9383928571428571,0.00953310558217082,0.9284658324132007,0.013326136103695527,0.5468589743589743,0.06825776357285991,0.5275000000000001,0.08958236433584457,0.5358991472005933,0.07686783124406214
Random Forest,0.9339285714285716,0.0017857142857142794,0.9553903374585941,0.018720228537824814,0.5,0.4472135954999579,0.03916666666666667,0.032015621187164243,0.07205882352941176,0.058897012925002316
